,Name,Album,Artist,Release_date,Release_year,Length,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Valence,Loudness,Speechiness,Tempo,Time_signature
16,All Night (feat. Knox Fortune),Coloring Book,Chance the Rapper,27/05/2016,2016,141542,65,0.0358,0.704,0.777,0,0.151,0.392,-5.729,0.195,111.921,4
17,7,7,Catfish and the Bottlemen,20/04/2016,2016,256306,0,0.000238,0.524,0.726,0.00276,0.0978,0.311,-4.92,0.0437,155.089,4
18,On Hold,On Hold,The xx,10/11/2016,2016,224133,0,0.0571,0.725,0.669,0.159,0.107,0.338,-6.582,0.0351,125.046,4
19,Death to the Lads,Death to the Lads,The Smith Street Band,4/11/2016,2016,211573,0,0.0107,0.222,0.854,0.000153,0.317,0.417,-3.859,0.0513,74.626,4
20,Ultralight Beam,The Life Of Pablo,Kanye West,10/06/2016,2016,320680,0,0.627,0.672,0.397,0,0.54,0.372,-8.804,0.381,105.71,4
21,Catch 22 (feat. Anne-Marie),Catch 22 (feat. Anne-Marie),Illy,10/10/2016,2016,221417,42,0.0981,0.765,0.561,0,0.141,0.584,-7.464,0.0987,97.447,4
22,Come on Mess Me Up,Come on Mess Me Up,Cub Sport,19/02/2016,2016,203640,0,0.0621,0.345,0.593,5.72E-06,0.128,0.0392,-5.568,0.0324,149.724,4
23,Because I Love You,Because I Love You,Montaigne,3/06/2016,2016,217626,35,0.115,0.764,0.834,0,0.0364,0.964,-3.45,0.0331,118.006,4
24,Make Them Wheels Roll,Make Them Wheels Roll,SAFIA,4/03/2016,2016,245666,39,0.378,0.729,0.66,0.167,0.118,0.458,-5.53,0.0356,95.029,4
25,Drive,Drive,Gretta Ray,1/08/2016,2016,299519,0,0.0273,0.697,0.475,0.0022,0.101,0.356,-7.763,0.0265,105.997,4
26,Frankie Sinatra,Wildflower,The Avalanches,8/07/2016,2016,224013,0,0.683,0.693,0.854,0,0.683,0.837,-5.816,0.354,95.527,4
27,Our Town,Our Town,Sticky Fingers,15/07/2016,2016,195414,11,0.00108,0.545,0.813,0.000193,0.121,0.628,-5.394,0.0244,90.012,4
28,Innerbloom (What So Not Remix),Innerbloom (What So Not Remix),RÜFÜS DU SOL,18/03/2016,2016,277199,55,0.138,0.417,0.71,5.76E-05,0.152,0.101,-6.628,0.0987,138.369,4
29,One Dance,Views,Drake,6/05/2016,2016,173986,2,0.00784,0.791,0.619,0.00423,0.351,0.371,-5.886,0.0532,103.989,4
30,Notion,Notion,Tash Sultana,17/06/2016,2016,341000,0,0.391,0.352,0.414,0.00831,0.185,0.0688,-6.6,0.0254,60.042,4
31,Bullshit,Bullshit,Dune Rats,6/05/2016,2016,180581,29,9.19E-05,0.499,0.967,0,0.352,0.419,-6.476,0.105,139.002,4
32,Scott Green,Scott Green,Dune Rats,25/11/2016,2016,130586,0,0.000238,0.566,0.93,2.92E-05,0.183,0.536,-5.98,0.161,140.003,4
33,World Of Our Love,World Of Our Love,Client Liaison,2/11/2016,2016,270627,44,0.0706,0.851,0.89,0.000623,0.128,0.579,-6.156,0.0489,116.99,4
34,Sad Songs,Westway (The Glitter & The Slums),Sticky Fingers,30/09/2016,2016,203492,0,0.000116,0.422,0.955,0.0614,0.177,0.299,-2.994,0.0695,127.047,4
35,Smoke & Retribution (feat. Vince Staples & Kucka),Smoke & Retribution (feat. Vince Staples & Kucka),Flume,29/01/2016,2016,241282,0,0.164,0.743,0.574,0,0.0922,0.403,-6.028,0.346,120.877,4
36,Youth,Youth,Glass Animals,18/07/2016,2016,230693,0,0.108,0.648,0.733,0.00473,0.113,0.752,-7.803,0.0306,96.003,4
37,Step Up The Morphine,Hills End,DMA'S,26/02/2016,2016,175214,0,4.70E-05,0.444,0.803,1.12E-06,0.123,0.476,-3.621,0.0309,112.505,4
38,Surfin',Surfin',Kid Cudi,30/09/2016,2016,238386,57,0.11,0.809,0.685,0.00363,0.183,0.827,-7.916,0.045,130.008,4
39,I Feel It Coming,Starboy,The Weeknd,25/11/2016,2016,269186,1,0.429,0.769,0.813,0,0.0952,0.567,-5.9,0.143,92.985,4
