,Name,Album,Artist,Release_date,Length,Popularity,Track_id,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Valence,Loudness,Speechiness,Tempo,Time_signature
65,Going Up,Going Up,Snorre Kirk,2021-02-19,275200,31,6bDFg4xR80Z2WfBZ69hYYP,0.815,0.613,0.204,0.00157,0.128,0.334,-14.291,0.0602,111.83,4
66,When You Are Around,When You Are Around,Trois Amis,2020-06-04,191547,63,3WUrXHDowLk25UtALiohVD,0.909,0.559,0.194,0.852,0.132,0.169,-16.927,0.0412,84.095,4
67,I´ll Never Smile Again,I´ll Never Smile Again,Steve Luke & Holloway,2021-01-07,245494,61,5vFqxBA36r8w1NKDUhpt07,0.945,0.349,0.083,0.899,0.168,0.0771,-21.928,0.0351,62.513,4
68,Nardis,Jacob Karlzon Trio: Today,Jacob Karlzon Trio,2013-07-01,400800,55,0Vcd3421PN3DOiNIC6K8A2,0.924,0.471,0.0344,0.94,0.0856,0.118,-31.074,0.0455,118.779,4
69,I Fall In Love Too Easily,I'll Remember April,Sweet Nothings Band,2020-08-24,287644,53,27UzG7JwCeHVv81CTGWIlc,0.946,0.391,0.151,0.863,0.23,0.107,-17.695,0.032,95.055,4
70,A Tribute To Oscar Peterson,A Tribute To Oscar Peterson,Ola W Jansson,2020-10-02,185944,47,0QFPEr4Sk1r9NAlJy5i5Hv,0.927,0.434,0.213,0.893,0.108,0.193,-17.591,0.0357,91.755,4
71,Stella by Starlight,Tea for Two,Sophie Lemon Jazz,2020-12-28,302999,53,3TVpiMoI86chM88b0I712D,0.934,0.369,0.143,0.777,0.104,0.0849,-14.544,0.0347,79.441,3
72,Chimes,Chimes,Duponte et Duponte,2020-09-18,163590,63,6gzPmb75SbQGuCWwtAoutC,0.863,0.458,0.0533,0.138,0.11,0.155,-20.472,0.0289,96.864,4
73,Serenity,Serenity,The Midnight Quartet,2020-05-15,171359,43,2N4t1dcQIiiuOzluKMCLKK,0.956,0.49,0.152,0.582,0.114,0.264,-16.093,0.0279,75.225,4
74,These Foolish Things (Remind Me of You),Blues and Ballads,Brad Mehldau Trio,2016-06-03,360706,45,59VHmPVQP4XPbOeiiIwqG6,0.951,0.44,0.128,0.933,0.1,0.179,-17.651,0.0425,81.028,4
75,All Of You,In Love,Ted Lightfoot,2019-11-15,149919,44,1lHu8rFjgnkUap7qLuW1Gs,0.962,0.549,0.125,0.938,0.11,0.163,-18.696,0.0463,121.251,4
76,I Wish You Love,I Wish You Love,Hope Heights Jazz Band,2020-06-11,230107,55,5U6viBMb17ayuEad6Inpgg,0.98,0.462,0.174,0.872,0.116,0.212,-18.377,0.0365,69.302,4
77,Lost and Found,Lost and Found,Reese Quartet,2020-10-02,206464,59,09YX8Z46RPayTuUF2Gmtiw,0.918,0.488,0.153,0.384,0.141,0.155,-17.966,0.033,143.907,4
78,Velvet,Velvet,Claus Waidtløw,2021-01-15,272585,57,368cbpZzyCxc564UhTULxA,0.956,0.305,0.161,0.65,0.1,0.168,-17.145,0.0285,88.821,3
79,Chelsea Bridge,Chelsea Bridge,Leo Krepper,2021-01-21,303924,50,5GCBRCB2SVSNOu7k38ix5r,0.932,0.629,0.106,0.255,0.121,0.119,-16.942,0.0439,118.512,4
80,Misty,Misty,Joseph Drilbit,2021-01-28,381943,45,0x0vBg2KSuEsKao9f1o5yR,0.923,0.459,0.0926,0.818,0.115,0.171,-17.756,0.034,100.813,4
81,My Mistake,Fading Love,Burt Mitchell,2020-11-06,297750,59,4CZOjvslnn4eNkcQC0Ubvw,0.976,0.299,0.0927,0.86,0.194,0.145,-21.554,0.032,94.891,4
82,Old Folks,Someday My Prince Will Come,Miles Davis,1961-12-11,314160,30,4mh17mzDplLjImZg1I3ivP,0.965,0.545,0.111,0.000629,0.0773,0.282,-14.692,0.0439,104.446,4
83,Blue in Green,Blue in Green,Hudson Harris & Haim,2020-10-23,229884,58,36cspwQPiIL9ElURDU7bGX,0.827,0.557,0.0593,0.772,0.108,0.15,-23.714,0.0383,117.939,4
84,Darn That Dream,Darn That Dream,Willowdale,2021-01-08,231886,54,5FMmOvA8neTNOZXLXFzS8B,0.93,0.462,0.155,0.897,0.116,0.169,-15.232,0.0344,113.82,4
85,I Can't Get Started,"Softly, as in a Morning Sunrise",Sal Ritter,2019-12-14,236486,54,5L9Mumh1rUDSIaHPzLpVhj,0.984,0.577,0.0559,0.957,0.0845,0.214,-22.203,0.0518,134.247,4
86,Late Lament,Late Lament,Alan Broadbent Trio,2020-09-15,358404,46,6Yq7c4xi4og0panpqWtonR,0.98,0.396,0.201,0.833,0.156,0.122,-15.007,0.0343,91.439,4
87,Let There Be Love,Misty,Zander Jazz Trio,2020-08-03,182749,50,0xwx7ezy29UaYUfauZiFSF,0.914,0.649,0.297,0.678,0.196,0.364,-14.452,0.0296,131.94,4
88,Fields of Home,Fields of Home,Tannenbaum Trio,2020-08-14,205261,56,79XZYbexRnaHO7cf5nJZZw,0.882,0.437,0.223,0.656,0.127,0.153,-17.087,0.0327,150.692,3
89,Duchesse,Duchesse,The Wallraff Group,2020-04-10,210500,55,7qwMwFHW4JBRXiKRBpFE13,0.977,0.448,0.197,0.469,0.0955,0.262,-15.432,0.0361,122.632,3
90,Theme for Ernie,"Stockholm Corona Sessions, Vol. 2",Jazzagenturen,2020-09-07,442624,43,0U6u5HlacmB4sYwmEfVkUE,0.793,0.517,0.229,0.891,0.162,0.142,-15.116,0.0337,60.87,4
91,Emily,Have You Met Miss Jones?,The Blue Room Band,2020-05-05,293970,54,2shwRU5UQwywwIHpwD3ZOW,0.933,0.524,0.265,0.886,0.186,0.218,-15.365,0.0282,106.487,3
92,Dear Old Stockholm,Dear Old Stockholm,CMC 3,2020-10-02,255623,50,1ZrMKSaSBxizjBCYmxf1kg,0.942,0.541,0.253,0.907,0.109,0.381,-16.189,0.0313,131.12,4
93,I Guess I'll Hang My Tears Out To Dry,I Can't Get Started,Hector Milo Trio,2021-01-25,254627,52,3WVKyc1in22UyqbohaNuhP,0.934,0.346,0.238,0.736,0.128,0.257,-16.764,0.0383,71.849,4
94,Love Is a Many-Splendored Thing,Pretty Ballad,Louis Silva Band,2020-06-03,163378,58,23G8P94lKwgXNAKH2z5VP8,0.934,0.429,0.13,0.94,0.124,0.189,-15.57,0.0319,85.193,4
95,Skylark,Ballad Session,Mark Turner,2000,355600,41,59BoB64SnmEA40zVsKVmND,0.927,0.477,0.0775,0.253,0.112,0.205,-19.338,0.0481,115.488,4
96,Désespérés,Désespérés,Vernon Sanders,2020-11-20,221624,60,1dGXWUU6oRMfyAJzX96C7i,0.987,0.344,0.0562,0.838,0.135,0.172,-20.749,0.0323,88.171,4
97,Stillness,Stillness,KTZ Players,2020-09-11,167270,59,40ydDb82UYQzcZlqNsVj7N,0.912,0.533,0.0492,0.862,0.119,0.166,-19.517,0.0319,96.842,4
98,Prelude to a Kiss,Giant Steps,Brendan Maynard + 2,2020-10-21,264626,57,4WTKq8cF5bZJNlvZyKVff8,0.947,0.522,0.0945,0.573,0.158,0.134,-17.913,0.0365,94.084,3
99,Sleeper,Sleeper,Rossdale Junction,2020-08-21,225546,55,4r6hgUhZEHGcIRYwiO9e7R,0.858,0.563,0.126,0.617,0.132,0.103,-17.326,0.0315,104.959,4
