,Name,Album,Artist,Release_date,Length,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Valence,Loudness,Speechiness,Tempo,Time_signature
83,Hey You,Hey You,DOPE LEMON,2019-05-08,278386,40,0.259,0.771,0.425,0.46,0.106,0.84,-12.039,0.0277,102.613,4
84,Doin' Time,Norman Fucking Rockwell!,Lana Del Rey,2019-08-30,202192,73,0.372,0.649,0.538,0.00632,0.0951,0.496,-11.196,0.0519,144.979,4
85,Unsainted,We Are Not Your Kind,Slipknot,2019-08-09,260773,72,0.000118,0.427,0.946,0.0253,0.0604,0.237,-2.188,0.0469,101.305,4
86,Follow God,JESUS IS KING,Kanye West,2019-10-25,104591,72,0.000248,0.529,0.9,1.21e-05,0.0426,0.434,-3.503,0.418,180.291,4
87,Lose Control,Lose Control,MEDUZA,2019-10-11,168387,83,0.129,0.598,0.526,0.0,0.14,0.529,-8.659,0.0415,123.935,4
88,Final Form,Final Form,Sampa the Great,2019-06-05,216778,39,0.00876,0.69,0.889,0.00226,0.302,0.761,-6.689,0.166,96.02,4
89,Here Comes Your Man - triple j Like A Version,Here Comes Your Man (triple j Like A Version),Skegss,2019-05-17,219000,48,0.000624,0.392,0.875,0.0,0.126,0.42,-5.479,0.0683,135.779,4
90,all the good girls go to hell,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,2019-03-29,168839,77,0.283,0.726,0.444,0.143,0.177,0.569,-8.922,0.372,185.044,4
91,The Real Thing,The Real Thing,Client Liaison,2019-08-01,268508,51,0.185,0.751,0.87,0.00106,0.0202,0.769,-5.712,0.0554,116.983,4
92,Wow.,Hollywood's Bleeding,Post Malone,2019-09-06,149546,81,0.136,0.829,0.539,1.78e-06,0.103,0.388,-7.359,0.208,99.96,4
93,Protection,Starry Night over the Phone,Allday,2019-07-12,213101,45,0.215,0.814,0.531,0.000608,0.114,0.329,-8.198,0.103,119.954,4
94,A.O.K,MAMA,Adrian Eagle,2019-09-20,194692,43,0.199,0.773,0.632,0.0,0.0987,0.474,-5.917,0.127,83.961,4
95,Ludens,Ludens,Bring Me The Horizon,2019-11-06,280151,65,0.000551,0.295,0.679,5.44e-05,0.165,0.381,-6.182,0.15,197.964,3
96,Skin,Skin,San Cisco,2019-10-23,267050,43,0.103,0.599,0.526,0.0104,0.173,0.389,-7.384,0.0221,96.036,4
97,Meditjin,Meditjin,Baker Boy,2019-11-21,178945,41,0.0754,0.834,0.877,2.53e-05,0.132,0.511,-3.371,0.181,120.051,4
98,C.U.D.I (Can U Dig It),C.U.D.I (Can U Dig It),Cosmo's Midnight,2019-03-01,223981,56,0.0331,0.608,0.863,0.105,0.147,0.689,-7.33,0.0424,113.995,4
99,No Plans,No Plans,Dune Rats,2019-06-07,201001,36,0.00747,0.615,0.895,0.0,0.273,0.656,-3.912,0.0367,109.993,4
